	Sample Type	Parental cell type
GSM1977399	CMP_71+_BAH+	common myeloid progenitor
GSM1977400	CMP_71-BAH-	common myeloid progenitor
GSM1977401	HSC	hematopoietic multipotent progenitor
GSM1977402	MEP_71+	megakaryocyte erythroid progenitor
GSM1977403	MLP	multilymphoid progenitor
GSM1977404	MPP_71+	hematopoietic multipotent progenitor
GSM1977405	CMP_71+_BAH+	common myeloid progenitor
GSM1977406	CMP_71-BAH-	common myeloid progenitor
GSM1977407	HSC	hematopoietic multipotent progenitor
GSM1977408	MEP_71+	megakaryocyte erythroid progenitor
GSM1977409	MLP	multilymphoid progenitor
GSM1977410	MPP_71+	hematopoietic multipotent progenitor
GSM1977411	CMP_71+	common myeloid progenitor
GSM1977412	GMP	granulocyte monocyte progenitor
GSM1977413	MEP_71+BAH+	megakaryocyte erythroid progenitor
GSM1977414	MEP_71-BAH-	megakaryocyte erythroid progenitor
GSM1977415	MPP_71+BAH+	hematopoietic multipotent progenitor
GSM1977416	MPP_71-BAH-	hematopoietic multipotent progenitor
GSM1977417	CMP_71+	common myeloid progenitor
GSM1977418	GMP	granulocyte monocyte progenitor
GSM1977419	MEP_71+BAH+	megakaryocyte erythroid progenitor
GSM1977420	MEP_71-BAH-	megakaryocyte erythroid progenitor
GSM1977421	MPP_71+BAH+	hematopoietic multipotent progenitor
GSM1977422	MPP_71-BAH-	hematopoietic multipotent progenitor